# {"t_start": 1765801489.3571959, "env_id": "Bpp-v0"} 
r,l,t
6.54,15,1893.842822
4.64,18,1896.881149
5.72,15,1899.588811
5.42,19,1903.149505
7.55,14,1906.089778
5.13,16,1908.825418
7.44,14,1911.478438
4.1,12,1913.340445
4.46,14,1916.221425
4.92,18,1919.720419
5.0,11,1921.502444
5.2,13,1924.368437
6.48,17,1927.068083
1.6,9,1928.839082
5.72,15,1931.515105
7.5,11,1933.593102
6.24,24,1938.0281
4.29,8,1939.02011
4.86,12,1941.865092
4.23,15,1944.572975
5.6,19,1948.106262
6.24,16,1951.04756
5.94,14,1953.671202
6.02,15,1956.329888
7.0,19,1959.142551
2.8,12,1961.938175
3.15,9,1963.679853
5.32,14,1965.582045
4.96,12,1968.149071
2.64,14,1971.075363
5.18,16,1973.809003
3.72,17,1976.591293
4.36,13,1979.522992
5.64,14,1982.179595
5.75,13,1984.013267
6.0,12,1986.63825
5.08,15,1989.627805
2.0,12,1991.46949
7.5,13,1994.09111
5.84,17,1997.101779
7.2,15,1999.757802
7.12,14,2002.363807
5.36,13,2004.233807
5.06,17,2007.96878
5.5,12,2009.795802
5.75,10,2011.58963
2.84,10,2013.404604
3.92,15,2016.377891
1.38,7,2018.072585
4.5,20,2021.667272
3.8,12,2023.512411
5.04,18,2027.302782
6.0,12,2029.160381
4.58,14,2031.828652
5.36,12,2033.911673
7.2,15,2036.537916
4.4,15,2039.22861
4.37,16,2041.990249
3.87,11,2044.809997
7.75,16,2047.494262
4.0,10,2049.308282
4.28,17,2052.353759
4.92,13,2054.979378
5.32,11,2056.820668
4.5,15,2059.473318
5.36,18,2063.237947
3.96,12,2065.101587
7.1,14,2067.881916
6.12,14,2070.920856
6.66,20,2074.477509
3.6,12,2076.30918
4.72,13,2078.928833
6.4,17,2081.944522
6.45,11,2083.726163
3.0,10,2085.483379
3.88,11,2087.265013
3.98,13,2090.116271
6.1,14,2092.741927
4.52,13,2094.653589
5.8,12,2097.254255
5.84,20,2101.12061
3.34,11,2102.962647
2.99,13,2105.611601
5.28,15,2108.583274
5.52,21,2112.184617
5.73,16,2114.862319
5.65,12,2116.987617
5.08,21,2121.291274
5.6,12,2123.114974
6.1,15,2126.024351
6.14,20,2129.580011
8.75,16,2132.282539
3.12,16,2135.315174
8.25,13,2137.981515
5.06,15,2140.693154
2.9,13,2143.385762
4.95,16,2146.376476
4.65,15,2149.104289
5.28,12,2150.964933
4.6,13,2153.854619
4.8,15,2156.500931
5.3,13,2158.349568
4.4,19,2161.916232
4.15,11,2163.979893
4.12,13,2166.586842
8.5,18,2170.0881
3.06,10,2172.171118
5.75,10,2173.970812
9.6,18,2176.756106
5.68,18,2180.279771
4.12,12,2182.37439
5.0,11,2184.234402
5.4,19,2187.802431
4.56,12,2190.702688
5.0,22,2194.302324
5.2,12,2196.122979
5.35,15,2198.815633
4.64,13,2201.678277
7.42,22,2205.289895
5.76,15,2207.913837
4.2,13,2210.767202
5.48,14,2213.444835
5.2,7,2214.415836
5.31,17,2218.157728
4.42,11,2220.080736
7.3,14,2222.703361
7.9,16,2225.375673
6.2,12,2227.515044
6.2,14,2230.191299
4.3,12,2232.047301
4.5,20,2235.598303
5.4,17,2239.338954
6.0,13,2241.172953
7.9,14,2243.815593
5.56,18,2247.609535
5.72,20,2251.176836
3.28,11,2253.05786
6.6,12,2255.265729
5.36,13,2257.930001
5.0,10,2259.753798
4.34,17,2262.510385
7.74,19,2266.378755
5.8,17,2269.908423
6.24,19,2272.722712
4.13,11,2275.478354
5.2,17,2278.201664
4.68,18,2281.737286
5.84,16,2284.651598
4.34,14,2287.240862
7.45,14,2289.119861
6.0,21,2293.756852
4.5,19,2296.561624
6.0,19,2300.109304
5.12,19,2303.942384
5.8,20,2307.586403
5.08,13,2310.667534
7.2,18,2313.449534
3.5,15,2316.100795
4.36,12,2318.700737
3.2,16,2321.635937
4.68,10,2323.39763
4.4,14,2326.01551
4.26,14,2327.928505
4.55,11,2330.699325
5.04,17,2333.410038
6.0,17,2336.155375
5.68,17,2339.972015
5.02,14,2342.610651
4.64,13,2344.471297
4.68,14,2347.411274
3.6,11,2349.235294
4.55,15,2351.958601
4.84,11,2353.785215
